Date,Open,High,Low,Close,Adj Close,Volume
2018-10-01,6619.851074,6549.080078,6653.297852,6589.620605,6589.620605,0
2018-10-02,6593.240234,6537.900879,6611.841309,6556.100098,6556.100098,0
2018-10-03,6553.861816,6454.027832,6571.458984,6502.588867,6502.588867,0
2018-10-04,6497.911621,6497.911621,6603.310059,6576.688477,6576.688477,0
2018-10-05,6574.150879,6557.411621,6623.622070,6622.481445,6622.481445,0
2018-10-08,6600.189453,6576.040527,6675.059570,6652.230957,6652.230957,0
2018-10-09,6653.081055,6606.939941,6661.408691,6642.637695,6642.637695,0
2018-10-10,6640.291016,6538.960938,6640.291016,6585.528320,6585.528320,0
2018-10-11,6586.738770,6243.740723,6586.738770,6256.240234,6256.240234,0
2018-10-12,6239.249023,6236.470703,6328.500977,6274.580566,6274.580566,0
2018-10-15,6292.640137,6258.680176,6965.059570,6596.541016,6596.541016,0
2018-10-16,6601.409180,6571.368652,6673.589355,6596.110352,6596.110352,0
2018-10-17,6590.520020,6517.451660,6601.208984,6544.429688,6544.429688,0
2018-10-18,6542.332031,6450.040039,6567.541016,6476.708984,6476.708984,0
2018-10-19,6478.068848,6445.308594,6493.679199,6465.411621,6465.411621,0
2018-10-22,6486.051758,6462.979492,6543.800293,6487.158691,6487.158691,0
2018-10-23,6472.362305,6451.271973,6506.011719,6475.740723,6475.740723,0
2018-10-24,6478.890625,6468.861816,6521.991211,6495.839355,6495.839355,0
2018-10-25,6484.651367,6447.029297,6504.648926,6476.289551,6476.289551,0
2018-10-26,6468.439453,6449.611816,6498.291504,6474.750977,6474.750977,0
2018-10-29,6492.351563,6306.991211,6503.600098,6332.628906,6332.628906,0
2018-10-30,6337.039551,6310.139648,6364.991211,6334.269531,6334.269531,0
2018-10-31,6336.990723,6316.880371,6349.162109,6317.610352,6317.610352,0
2018-11-01,6318.141113,6311.828613,6547.142090,6377.778809,6377.778809,0
2018-11-02,6378.921875,6327.379883,6396.859863,6388.441895,6388.441895,0
2018-11-05,6363.618652,6363.618652,6480.591797,6419.659668,6419.659668,0
2018-11-06,6433.379883,6408.161621,6463.551270,6461.008301,6461.008301,0
2018-11-07,6468.501953,6468.309570,6552.161133,6530.138672,6530.138672,0
2018-11-08,6522.268066,6438.527832,6536.921875,6453.719727,6453.719727,0
2018-11-09,6442.601563,6373.368652,6456.461426,6385.618164,6385.618164,0
2018-11-12,6411.760742,6360.469238,6434.211426,6371.269043,6371.269043,0
