"";"lemma";"inflected_form"
"644";"affect";"affects"
"645";"affenpinscher";"affenpinschers"
"646";"affiance";"affianced"
"647";"affiant";"affiants"
"648";"affidavit";"affidavits"
"649";"affilate";"affilated"
"650";"affiliate";"affiliated"
"651";"affiliate";"affiliates"
"652";"affiliate";"affiliating"
"653";"affiliation";"affiliations"
"654";"affinity";"affinities"
"655";"affirmation";"affirmations"
"656";"affirmative";"affirmatives"
"657";"affirm";"affirmed"
"658";"affirm";"affirming"
"659";"affirm";"affirms"
"660";"affix";"affixed"
"661";"affix";"affixes"
"662";"affix";"affixing"
"663";"afflict";"afflicted"
"664";"afflict";"afflicting"
"665";"affliction";"afflictions"
"666";"afflict";"afflicts"
"667";"afford";"afforded"
"668";"afford";"affording"
"669";"afford";"affords"
"670";"afforest";"afforested"
"671";"affray";"affrays"
"672";"affront";"affronted"
"673";"affront";"affronting"
"674";"affront";"affronts"
"675";"afghani";"afghanis"
"676";"afghanistani";"afghanistanis"
"677";"afghanistan";"afghanistans"
"678";"afghan";"afghans"
"679";"aficianado";"aficianados"
"680";"aficionado";"aficionados"
"681";"aflatoxin";"aflatoxins"
"682";"africanise";"africanised"
"683";"africanise";"africanising"
"684";"africanize";"africanized"
"685";"african";"africans"
"686";"africa";"africas"
"687";"afrikaner";"afrikaners"
"688";"afro-american";"afro-americans"
"689";"afro-wig";"afro-wigs"
"690";"after-effect";"after-effects"
"691";"after-hour";"after-hours"
"692";"after-sale";"after-sales"
"693";"afterbirth";"afterbirths"
"694";"afterburner";"afterburners"
"695";"aftereffect";"aftereffects"
"696";"after";"afterest"
"697";"afterglow";"afterglows"
"698";"afterimage";"afterimages"
"699";"aftermarket";"aftermarkets"
"700";"aftermath";"aftermaths"
"701";"afternoon";"afternoons"
"702";"aftershock";"aftershocks"
"703";"afterthought";"afterthoughts"
"704";"afterword";"afterwords"
"705";"aga";"agas"
"706";"agate";"agates"
"707";"agave";"agaves"
"708";"age-group";"age-groups"
"709";"age";"aged"
"710";"age";"ageing"
"711";"agency";"agencies"
"712";"agenda";"agendas"
"713";"agenice";"agenices"
"714";"agent";"agents"
"715";"ageratum";"ageratums"
"716";"ager";"agers"
"717";"age";"ages"
"718";"agger";"aggers"
"719";"aggie";"aggies"
"720";"agglomerate";"agglomerated"
"721";"agglomerate";"agglomerates"
"722";"agglomerate";"agglomerating"
"723";"agglomeration";"agglomerations"
"724";"aggrandize";"aggrandized"
"725";"aggrandize";"aggrandizing"
"726";"aggravate";"aggravated"
"727";"aggravate";"aggravates"
"728";"aggravate";"aggravating"
"729";"aggravation";"aggravations"
"730";"aggregate";"aggregated"
"731";"aggregate";"aggregates"
"732";"aggregate";"aggregating"
"733";"aggregation";"aggregations"
"734";"aggress";"aggressed"
"735";"aggress";"aggresses"
"736";"aggress";"aggressing"
"737";"aggression";"aggressions"
"738";"aggressor";"aggressors"
"739";"aggrieve";"aggrieved"
"740";"aggrieve";"aggrieves"
"741";"aggrieve";"aggrieving"
"742";"agha";"aghas"
"743";"agility";"agilities"
"744";"age";"aging"
"745";"agist";"agisted"
"746";"agist";"agisting"
"747";"agitate";"agitated"
"748";"agitate";"agitates"
"749";"agitate";"agitating"
"750";"agitation";"agitations"
"751";"agitator";"agitators"
"752";"aglet";"aglets"
"753";"agnelli";"agnellis"
"754";"agnostic";"agnostics"
"755";"agony";"agonies"
"756";"agonise";"agonised"
"757";"agonise";"agonises"
"758";"agonise";"agonising"
"759";"agonist";"agonists"
"760";"agonize";"agonized"
"761";"agonize";"agonizes"
"762";"agonize";"agonizing"
"763";"agoraphobia";"agoraphobias"
"764";"agoraphobic";"agoraphobics"
"765";"agouti";"agoutis"
"766";"agra";"agras"
"767";"agree";"agreed"
"768";"agree";"agreeing"
"769";"agreement";"agreements"
"770";"agree";"agrees"
"771";"agribusiness";"agribusinesses"
"772";"agricultural-product";"agricultural-products"
"773";"agriculturalist";"agriculturalists"
"774";"agriculture";"agricultures"
"775";"agriculturist";"agriculturists"
"776";"agriproduct";"agriproducts"
"777";"agrochemical";"agrochemicals"
"778";"agronomist";"agronomists"
"779";"ag";"ags"
"780";"aid";"aided"
"781";"aider";"aiders"
"782";"aide";"aides"
"783";"aid";"aiding"
"784";"aid";"aids"
"785";"ail";"ailed"
"786";"aileron";"ailerons"
"787";"ail";"ailing"
"788";"ailment";"ailments"
"789";"ail";"ails"
"790";"aim";"aimed"
"791";"aim";"aiming"
"792";"aim";"aims"
"793";"air-condition";"air-conditioned"
"794";"air-conditioner";"air-conditioners"
"795";"air-condition";"air-conditions"
"796";"air-dry";"air-dried"
"797";"air-intake";"air-intakes"
"798";"air-mail";"air-mailed"
"799";"air-raid";"air-raids"
"800";"air-ship";"air-shipped"
"801";"airbag";"airbags"
"802";"airbed";"airbeds"
"803";"airboat";"airboats"
"804";"airbrake";"airbrakes"
"805";"airbrick";"airbricks"
"806";"airbrush";"airbrushed"
"807";"airbrush";"airbrushes"
"808";"airbus";"airbuses"
"809";"aircondition";"airconditioned"
"810";"aircondition";"airconditioning"
"811";"aircool";"aircooled"
"812";"aircraftman";"aircraftmen"
"813";"aircraft";"aircrafts"
"814";"aircrew";"aircrews"
"815";"airdrome";"airdromes"
"816";"airdrop";"airdropped"
"817";"airdrop";"airdropping"
"818";"airdrop";"airdrops"
"819";"air";"aired"
"820";"airedale";"airedales"
"821";"air";"airer"
"822";"airfare";"airfares"
"823";"airfield";"airfields"
"824";"airflow";"airflows"
"825";"airfoil";"airfoils"
"826";"airframe";"airframes"
"827";"airhead";"airheads"
"828";"airy";"airier"
"829";"airy";"airiest"
"830";"air";"airing"
"831";"airing";"airings"
"832";"airlift";"airlifted"
"833";"airlift";"airlifting"
"834";"airlift";"airlifts"
"835";"airliner";"airliners"
"836";"airline";"airlines"
"837";"airlock";"airlocks"
"838";"airmail";"airmailed"
"839";"airmail";"airmailing"
"840";"airmail";"airmails"
"841";"airman";"airmen"
"842";"airplane";"airplanes"
"843";"airport";"airports"
"844";"air";"airs"
"845";"airship";"airships"
"846";"airspace";"airspaces"
"847";"airspeed";"airspeeds"
"848";"airstream";"airstreams"
"849";"airstrip";"airstrips"
"850";"airt";"airts"
"851";"airway";"airways"
"852";"airwoman";"airwomen"
"853";"ai";"ais"
"854";"aisle";"aisles"
"855";"aitch";"aitches"
"856";"ait";"aits"
"857";"akhara";"akharas"
"858";"akron";"akrons"
"859";"al-sabah";"al-sabahs"
"860";"alabama";"alabamas"
"861";"alameda";"alamedas"
"862";"alanine";"alanines"
"863";"alan";"alans"
"864";"alarm";"alarmed"
"865";"alarm";"alarming"
"866";"alarmist";"alarmists"
"867";"alarm";"alarms"
"868";"alarum";"alarums"
"869";"alaskan";"alaskans"
"870";"alaska";"alaskas"
"871";"albanian";"albanians"
"872";"albania";"albanias"
"873";"albatross";"albatrosses"
"874";"albedo";"albedos"
"875";"alberta";"albertas"
"876";"albert";"alberts"
"877";"albino";"albinos"
"878";"albumin";"albumins"
"879";"album";"albums"
"880";"alcade";"alcades"
"881";"alchemy";"alchemies"
"882";"alchemise";"alchemised"
"883";"alchemist";"alchemists"
"884";"alchemize";"alchemized"
"885";"alchemize";"alchemizes"
"886";"alchemize";"alchemizing"
"887";"alcide";"alcides"
"888";"alcoholic";"alcoholics"
"889";"alcohol";"alcohols"
"890";"alcove";"alcoves"
"891";"aldehyde";"aldehydes"
"892";"alderman";"aldermen"
"893";"alder";"alders"
"894";"aleck";"alecks"
"895";"alec";"alecs"
"896";"alehouse";"alehouses"
"897";"alert";"alerted"
"898";"alert";"alerting"
"899";"alert";"alerts"
"900";"ale";"ales"
"901";"aleutian";"aleutians"
"902";"alevin";"alevins"
"903";"alewife";"alewives"
"904";"alexander";"alexanders"
"905";"alexandra";"alexandras"
